,INICIO_PROCESO,LLAVE_ABRE,LLAVE_CIERRA,FIN_PROCESO,FUNCION,IDENTIFICADOR,PARENTESIS_ABRE,PARENTESIS_CIERRA,COMA,MIENTRAS,PARA,IGUALDAD,NUM_ENTERO,PUNTO_C,MENOR_IGUAL,OP_SUMA,CONDICIONES_SI,FINSI,INGRESA,IMPRESOR,CONDICIONES_SINO,CONDICIONES_FINSI,OP_LOGICOAND,OP_LOGICOOR,OP_RESTA,OP_MULTIPLICACION,OP_DIVISION,MAYOR_Q,MENOR_Q,COMPARACION,MAYOR_IGUAL,INCREMENTO,COMPARACION_IGUALDAD,SUM_ASIGNACION,DECREMENTO,NUM_DECIMAL,NUM_CHAR,CADENA_TEXTO,NUM_BOOLEANOV,NUM_BOOLEANOF,DATO_ENTERO,DATO_LARGO,DATO_FLOTANTE,DATO_CARACTER,DATO_BOOLEANO,$
INICIO_CODIGO,FUNC INICIO_PROCESO LLAVE_ABRE SENTENCIA LLAVE_CIERRA FIN_PROCESO FUNC,,,,FUNC INICIO_PROCESO LLAVE_ABRE SENTENCIA LLAVE_CIERRA FIN_PROCESO FUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNC INICIO_PROCESO LLAVE_ABRE SENTENCIA LLAVE_CIERRA FIN_PROCESO FUNC
FUNC,e,,,,FUNCION IDENTIFICADOR PARENTESIS_ABRE D PARENTESIS_CIERRA LLAVE_ABRE SENTENCIA LLAVE_CIERRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
D,,,,,,,,e,COMA TIPO_DATO IDENTIFICADOR D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIPO_DATO IDENTIFICADOR D,TIPO_DATO IDENTIFICADOR D,TIPO_DATO IDENTIFICADOR D,TIPO_DATO IDENTIFICADOR D,TIPO_DATO IDENTIFICADOR D,
SENTENCIA,,,e,,,IDENTIFICADOR PARENTESIS_ABRE D PARENTESIS_CIERRA,,,,MIENTRAS PARENTESIS_ABRE S PARENTESIS_CIERRA LLAVE_ABRE SENTENCIA LLAVE_CIERRA SENTENCIA,PARA PARENTESIS_ABRE TIPO_DATO IDENTIFICADOR IGUALDAD NUM_ENTERO PUNTO_C IDENTIFICADOR MENOR_IGUAL NUM_ENTERO PUNTO_C IDENTIFICADOR IGUALDAD IDENTIFICADOR OP_SUMA NUM_ENTERO PARENTESIS_CIERRA LLAVE_ABRE SENTENCIA LLAVE_CIERRA SENTENCIA,,,,,,CONDICIONES_SI PARENTESIS_ABRE S H PARENTESIS_CIERRA LLAVE_ABRE SENTENCIA LLAVE_CIERRA SINO FINSI SENTENCIA,,INGRESA IDENTIFICADOR SENTENCIA,IMPRESOR S SENTENCIA,,e,,,,,,,,,,,,,,,,,,,TIPO_DATO IDENTIFICADOR IG SENTENCIA,TIPO_DATO IDENTIFICADOR IG SENTENCIA,TIPO_DATO IDENTIFICADOR IG SENTENCIA,TIPO_DATO IDENTIFICADOR IG SENTENCIA,TIPO_DATO IDENTIFICADOR IG SENTENCIA,
SINO,,,,,,,,,,,,,,,,,,e,,,CONDICIONES_SINO LLAVE_ABRE SENTENCIA CONDICIONES_FINSI LLAVE_CIERRA,,,,,,,,,,,,,,,,,,,,,,,,,
IG,,,e,,,e,,,,e,e,IGUALDAD S,,,,,e,,e,e,,e,,,,,,,,,,,,,,,,,,,e,e,e,e,e,
H,,,,,,,,e,,,,,,,,,,,,,,,OP_LOGICOAND S H,OP_LOGICOOR S H,,,,,,,,,,,,,,,,,,,,,,
S,,,,,,C OP,C OP,,,,,,C OP,,,,,,,,,,,,OP_RESTA C OP,,,,,,,,,,,C OP,C OP,C OP,C OP,C OP,,,,,,
OP,,,e,,,e,,e,,e,e,,,,MENOR_IGUAL C OP,OP_SUMA C OP,e,,e,e,,e,e,e,OP_RESTA C OP,OP_MULTIPLICACION C OP,OP_DIVISION C OP,MAYOR_Q C OP,MENOR_Q C OP,COMPARACION C OP,MAYOR_IGUAL C OP,INCREMENTO C OP,COMPARACION_IGUALDAD C OP,SUM_ASIGNACION C OP,DECREMENTO C OP,,,,,,e,e,e,e,e,
C,,,,,,F CP,F CP,,,,,,F CP,,,,,,,,,,,,,,,,,,,,,,,F CP,F CP,F CP,F CP,F CP,,,,,,
CP,,,e,,,e,,e,,e,e,,,,e,e,e,,e,e,,e,e,e,e,e,e,e,e,e,e,e,e,e,e,,,,,,e,e,e,e,e,
F,,,,,,IDENTIFICADOR,PARENTESIS_ABRE S PARENTESIS_CIERRA,,,,,,NUM_ENTERO,,,,,,,,,,,,,,,,,,,,,,,NUM_DECIMAL,NUM_CHAR,CADENA_TEXTO,NUM_BOOLEANOV,NUM_BOOLEANOF,,,,,,
TIPO_DATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATO_ENTERO,DATO_LARGO,DATO_FLOTANTE,DATO_CARACTER,DATO_BOOLEANO,
